"MTU","Out Area","In Area","Physical Flow (MW)"
"29/04/2026 10:00:00 - 29/04/2026 11:00:00","North Macedonia (MK)","Greece (GR)","N/A"
"29/04/2026 10:00:00 - 29/04/2026 11:00:00","Greece (GR)","Turkey (TR)","N/A"
"29/04/2026 10:00:00 - 29/04/2026 11:00:00","Turkey (TR)","Greece (GR)","N/A"
"29/04/2026 11:00:00 - 29/04/2026 12:00:00","Greece (GR)","Albania (AL)","N/A"
"29/04/2026 11:00:00 - 29/04/2026 12:00:00","Albania (AL)","Greece (GR)","N/A"
"29/04/2026 11:00:00 - 29/04/2026 12:00:00","Greece (GR)","Bulgaria (BG)","400.72"
"29/04/2026 11:00:00 - 29/04/2026 12:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 11:00:00 - 29/04/2026 12:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 11:00:00 - 29/04/2026 12:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 11:00:00 - 29/04/2026 12:00:00","Greece (GR)","North Macedonia (MK)","N/A"
"29/04/2026 11:00:00 - 29/04/2026 12:00:00","North Macedonia (MK)","Greece (GR)","N/A"
"29/04/2026 11:00:00 - 29/04/2026 12:00:00","Greece (GR)","Turkey (TR)","N/A"
"29/04/2026 11:00:00 - 29/04/2026 12:00:00","Turkey (TR)","Greece (GR)","N/A"
"29/04/2026 12:00:00 - 29/04/2026 13:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 12:00:00 - 29/04/2026 13:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 12:00:00 - 29/04/2026 13:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 12:00:00 - 29/04/2026 13:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 12:00:00 - 29/04/2026 13:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 12:00:00 - 29/04/2026 13:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 12:00:00 - 29/04/2026 13:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 12:00:00 - 29/04/2026 13:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 12:00:00 - 29/04/2026 13:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 12:00:00 - 29/04/2026 13:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 13:00:00 - 29/04/2026 14:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 13:00:00 - 29/04/2026 14:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 13:00:00 - 29/04/2026 14:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 13:00:00 - 29/04/2026 14:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 13:00:00 - 29/04/2026 14:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 13:00:00 - 29/04/2026 14:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 13:00:00 - 29/04/2026 14:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 13:00:00 - 29/04/2026 14:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 13:00:00 - 29/04/2026 14:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 13:00:00 - 29/04/2026 14:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 14:00:00 - 29/04/2026 15:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 14:00:00 - 29/04/2026 15:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 14:00:00 - 29/04/2026 15:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 14:00:00 - 29/04/2026 15:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 14:00:00 - 29/04/2026 15:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 14:00:00 - 29/04/2026 15:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 14:00:00 - 29/04/2026 15:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 14:00:00 - 29/04/2026 15:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 14:00:00 - 29/04/2026 15:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 14:00:00 - 29/04/2026 15:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 15:00:00 - 29/04/2026 16:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 15:00:00 - 29/04/2026 16:00:00","Albania (AL)","Greece (GR)","-"
